cluster_id,pattern_name,num_observations,TMIN,TMAX,TAVG,AWND,WSF5,PRCP
1,"Cool, Breezy, Dry",25151,28.0,46.71,37.4,9.51,26.54,0.1
2,"Warm, Breezy, Light Rain",46827,59.36,81.73,70.28,7.71,24.67,0.12
